               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053001,            0.033609,            0.035688,              0.4714,             0.42509,             0.40786,             0.19387,             0.05247,            0.019796,            0.026039,           0.0093369,           0.0093369,           0.0093369
                  37,            0.052984,            0.033575,            0.035179,             0.48596,             0.42061,                0.41,             0.19823,            0.052121,            0.019616,             0.02594,           0.0092995,           0.0092995,           0.0092995
                  38,            0.052781,             0.03346,            0.034961,              0.5016,             0.43297,             0.43004,             0.20736,            0.052014,            0.019511,            0.025312,           0.0092611,           0.0092611,           0.0092611
                  39,            0.052488,            0.033516,            0.034798,             0.50463,             0.41954,             0.42665,             0.20607,            0.051776,             0.01946,             0.02494,           0.0092219,           0.0092219,           0.0092219
                  40,            0.052275,            0.033489,            0.034323,             0.52481,             0.40693,             0.42534,             0.20483,            0.051909,            0.019538,            0.025343,           0.0091817,           0.0091817,           0.0091817
                  41,            0.052211,            0.033299,            0.033903,              0.5298,             0.42202,             0.43893,             0.21661,            0.051523,            0.019456,            0.024274,           0.0091406,           0.0091406,           0.0091406
                  42,             0.05197,            0.033276,             0.03381,             0.52531,             0.43863,             0.44579,             0.21961,            0.051259,            0.019453,            0.024586,           0.0090986,           0.0090986,           0.0090986
                  43,            0.051797,            0.033226,            0.033362,             0.53287,             0.44159,             0.45681,             0.22779,             0.05094,             0.01935,             0.02368,           0.0090557,           0.0090557,           0.0090557
                  44,            0.051985,              0.0333,             0.03342,             0.53985,              0.4427,             0.46012,             0.22803,            0.050868,            0.019223,            0.023457,           0.0090119,           0.0090119,           0.0090119
                  45,            0.051947,            0.033511,            0.032796,              0.5614,              0.4443,             0.46768,             0.23515,            0.050696,            0.019262,            0.023646,           0.0089673,           0.0089673,           0.0089673
                  46,             0.05194,            0.033066,            0.032808,             0.55245,             0.45964,             0.47429,             0.23653,            0.050564,            0.019095,            0.022857,           0.0089218,           0.0089218,           0.0089218
                  47,            0.051646,            0.033294,            0.032397,              0.5878,             0.44885,             0.48221,             0.24439,            0.050431,            0.019084,            0.023036,           0.0088755,           0.0088755,           0.0088755
                  48,            0.051656,            0.033389,            0.032283,             0.58786,             0.44971,             0.48586,             0.24779,            0.050206,            0.019061,            0.022407,           0.0088283,           0.0088283,           0.0088283
                  49,            0.051232,            0.032688,            0.032054,             0.59119,             0.45211,             0.48848,             0.24568,             0.05021,            0.019001,            0.022239,           0.0087804,           0.0087804,           0.0087804
                  50,            0.051288,             0.03283,            0.031961,             0.58688,             0.46014,             0.49572,             0.25203,            0.050055,            0.019026,            0.022445,           0.0087316,           0.0087316,           0.0087316
                  51,            0.050845,            0.032942,            0.031771,             0.56456,             0.48236,             0.49399,             0.24971,            0.049942,            0.019121,            0.022251,            0.008682,            0.008682,            0.008682
                  52,            0.050924,            0.032848,            0.031731,             0.57205,             0.46904,             0.49305,              0.2489,             0.04998,            0.018939,            0.022156,           0.0086316,           0.0086316,           0.0086316
                  53,            0.050719,            0.033005,            0.031427,              0.5761,             0.47709,             0.50357,             0.25918,            0.049719,            0.018974,            0.021817,           0.0085805,           0.0085805,           0.0085805
                  54,             0.05091,            0.032729,            0.030803,             0.57296,             0.48022,             0.50622,             0.25967,            0.049482,            0.018952,            0.021417,           0.0085286,           0.0085286,           0.0085286
                  55,            0.050733,            0.032627,            0.031168,             0.56368,             0.48701,             0.50602,             0.25896,            0.049434,            0.018898,            0.021236,           0.0084759,           0.0084759,           0.0084759
                  56,            0.050617,            0.032928,            0.030637,             0.59653,             0.48156,             0.51565,             0.26481,             0.04915,            0.018834,            0.021086,           0.0084225,           0.0084225,           0.0084225
                  57,            0.050678,            0.032992,            0.030502,             0.57462,              0.4926,             0.51862,             0.26526,             0.04911,             0.01875,            0.020865,           0.0083684,           0.0083684,           0.0083684
                  58,            0.050463,            0.032911,            0.030311,             0.60458,             0.48433,             0.51971,             0.26597,            0.048929,            0.018836,            0.020968,           0.0083136,           0.0083136,           0.0083136
                  59,            0.050332,            0.032441,            0.030324,             0.59187,             0.48821,             0.52099,             0.26854,            0.049018,            0.018754,            0.020619,           0.0082581,           0.0082581,           0.0082581
                  60,             0.05027,            0.032708,            0.030399,             0.58976,             0.49209,             0.52102,              0.2685,              0.0488,            0.018765,            0.020673,           0.0082019,           0.0082019,           0.0082019
                  61,            0.050211,            0.032952,            0.030154,             0.61381,              0.4868,             0.52792,             0.27362,            0.048655,            0.018755,            0.020448,            0.008145,            0.008145,            0.008145
                  62,            0.050231,             0.03251,            0.029699,             0.61401,             0.49469,             0.53674,             0.28094,            0.048458,            0.018669,            0.020158,           0.0080875,           0.0080875,           0.0080875
                  63,            0.049986,             0.03275,            0.029529,             0.63979,             0.48476,             0.53348,             0.27665,            0.048604,            0.018699,            0.020136,           0.0080294,           0.0080294,           0.0080294
                  64,            0.050064,            0.032553,            0.029542,              0.6002,              0.5099,             0.53649,             0.28006,             0.04836,            0.018652,            0.020009,           0.0079706,           0.0079706,           0.0079706
                  65,            0.049843,            0.032455,            0.029258,             0.65692,             0.48138,             0.54371,             0.28552,            0.048232,            0.018594,            0.019881,           0.0079112,           0.0079112,           0.0079112
                  66,            0.049745,            0.032507,            0.028946,             0.61044,             0.51378,             0.54469,              0.2862,            0.048163,            0.018621,            0.019769,           0.0078512,           0.0078512,           0.0078512
                  67,            0.049746,            0.032398,            0.028456,             0.62791,             0.50428,             0.54545,             0.28414,            0.048005,            0.018575,            0.019583,           0.0077907,           0.0077907,           0.0077907
                  68,            0.049681,            0.032605,            0.028745,             0.63604,              0.4998,             0.54762,             0.28701,            0.047961,             0.01859,            0.019395,           0.0077296,           0.0077296,           0.0077296
                  69,            0.049608,             0.03244,            0.028619,             0.62351,             0.50769,             0.54912,             0.28958,            0.047928,            0.018576,            0.019455,           0.0076679,           0.0076679,           0.0076679
                  70,            0.049397,            0.032346,            0.028336,              0.6377,             0.50567,             0.55029,             0.28958,            0.047843,            0.018549,              0.0194,           0.0076057,           0.0076057,           0.0076057
                  71,            0.049322,            0.032229,            0.028317,             0.61541,             0.52061,             0.54987,             0.29125,            0.047841,            0.018566,            0.019437,            0.007543,            0.007543,            0.007543
                  72,            0.049221,            0.032227,            0.028212,             0.63071,             0.52015,             0.55713,              0.2941,             0.04771,            0.018523,            0.019392,           0.0074797,           0.0074797,           0.0074797
                  73,            0.049386,            0.032101,            0.028102,             0.63757,             0.52082,             0.55844,             0.29515,            0.047702,            0.018493,            0.019227,            0.007416,            0.007416,            0.007416
                  74,            0.048935,            0.031892,            0.027948,             0.63434,              0.5219,              0.5583,             0.29503,            0.047672,             0.01849,            0.019279,           0.0073518,           0.0073518,           0.0073518
                  75,             0.04897,            0.032328,             0.02769,             0.65263,             0.50979,             0.55966,             0.29734,            0.047582,            0.018474,            0.019214,           0.0072872,           0.0072872,           0.0072872
                  76,            0.048825,            0.032244,             0.02781,             0.64333,             0.51669,             0.56163,              0.2974,            0.047501,            0.018462,            0.018943,           0.0072221,           0.0072221,           0.0072221
                  77,            0.048398,            0.031658,            0.027589,             0.65042,             0.51743,             0.56472,             0.30284,            0.047454,            0.018429,            0.018811,           0.0071566,           0.0071566,           0.0071566
                  78,            0.048773,            0.032101,            0.027554,             0.65307,             0.51854,             0.56834,             0.30528,            0.047338,            0.018383,            0.018676,           0.0070906,           0.0070906,           0.0070906
                  79,            0.048417,            0.031997,            0.027372,             0.64976,             0.52123,             0.56779,             0.30512,            0.047267,            0.018383,            0.018672,           0.0070243,           0.0070243,           0.0070243
                  80,             0.04877,             0.03193,            0.027536,             0.62669,             0.54383,             0.57281,             0.30953,            0.047208,            0.018345,            0.018399,           0.0069576,           0.0069576,           0.0069576
                  81,            0.048785,            0.031998,             0.02724,             0.66328,             0.52318,             0.57437,             0.31022,            0.047166,             0.01835,            0.018367,           0.0068906,           0.0068906,           0.0068906
                  82,            0.048379,            0.032107,            0.026987,             0.64987,             0.53164,             0.57507,              0.3105,            0.047103,            0.018319,            0.018377,           0.0068232,           0.0068232,           0.0068232
